更新日期,#genre#
河北卫视,http://120.76.248.139/live/bfgd/4200000108.m3u8$IPV4•线路11
黑龙江卫视,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8$IPV4•线路2
黑龙江卫视,http://120.76.248.139/live/bfgd/4200000095.m3u8$IPV4•线路9
湖北卫视,http://j.x.bkpcp.top/jx/HUBEIHD$IPV4•线路1
湖北卫视,https://www.freetv.top/migu/738906825.m3u8$IPV4•线路4
湖北卫视,http://120.76.248.139/live/bfgd/4200000102.m3u8$IPV4•线路14
江西卫视,https://www.freetv.top/migu/783847495.m3u8$IPV4•线路3
江西卫视,http://120.76.248.139/live/bfgd/4200000098.m3u8$IPV4•线路14
吉林卫视,http://120.76.248.139/live/bfgd/4200000097.m3u8$IPV4•线路12
内蒙古卫视,http://120.76.248.139/live/bfgd/4200000110.m3u8$IPV4•线路7
辽宁卫视,http://j.x.bkpcp.top/jx/LIAONHD$IPV4•线路1
辽宁卫视,http://120.76.248.139/live/bfgd/4200000141.m3u8$IPV4•线路11
辽宁卫视,http://120.76.248.139/live/bfgd/4200000185.m3u8$IPV4•线路12
宁夏卫视,http://j.x.bkpcp.top/jx/NXWS$IPV4•线路1
宁夏卫视,http://120.76.248.139/live/bfgd/4200000118.m3u8$IPV4•线路7
青海卫视,http://120.76.248.139/live/bfgd/4200000111.m3u8$IPV4•线路10
天津卫视,http://j.x.bkpcp.top/jx/TIANJHD$IPV4•线路1
海南卫视,http://120.76.248.139/live/bfgd/4200000473.m3u8$IPV4•线路9
新疆卫视,http://j.x.bkpcp.top/jx/XJWS$IPV4•线路1
新疆卫视,http://120.76.248.139/live/bfgd/4200000150.m3u8$IPV4•线路10
西藏卫视,http://120.76.248.139/live/bfgd/4200000121.m3u8$IPV4•线路11
兵团卫视,http://120.76.248.139/live/bfgd/4200000124.m3u8$IPV4•线路8
康巴卫视,http://111.202.12.159:8080/kYGHWzA/1000/live.m3u8$IPV4•线路4
康巴卫视,http://111.202.12.159:8080/3zvkK28/1000/live.m3u8$IPV4•线路5
农林卫视,http://120.76.248.139/live/bfgd/4200000122.m3u8$IPV4•线路2
延边卫视,http://120.76.248.139/live/bfgd/4200000117.m3u8$IPV4•线路4
延边卫视,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8$IPV4•线路6
🍓┃湾区频道,#genre#
凤凰中文,http://vapi.91kds.cc/live2/ifeng.m3u8$IPV4•线路11
有线新闻,http://beishan008.asuscomm.com:8891/bysid/78.m3u8$IPV4
星空卫视,http://122.53.222.9:9981/stream/channelid/2084767267$IPV4•线路3
三立新闻,https://tv.iill.top/4gtv/229$IPV4•线路2
RTHK 33,http://beishan008.asuscomm.com:8892/bysid/33.m3u8$IPV4
RTHK 34,http://beishan008.asuscomm.com:8892/bysid/34.m3u8$IPV4
🍉┃咪咕频道,#genre#
🐟┃少儿频道,#genre#
优漫卡通,https://www.freetv.top/migu/626064703.m3u8$IPV4•线路2
🐶┃影视频道,#genre#
CHC动作电影,https://www.freetv.top/migu/644368714.m3u8$IPV4•线路3
CHC家庭影院,https://www.freetv.top/migu/644368373.m3u8$IPV4•线路4

